revision,type,path
1551332,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values/booleans.xml
1551313,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values/booleans.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/activity_settings.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/all_files_activity.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/fragment_help_layout.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/new_slides_main_screen.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/play_now_activity.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/restore_activity.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/setting_dataclasses_activity.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/tabs_view_pager.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/tools_activity.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/upload_download_status.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/view_pager.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout/wizard_activity.xml
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout-sw600dp
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout-sw600dp-land
1551307,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-spanishclaros/res/layout-sw600dp-port
1551294,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values/booleans.xml
1551294,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/values/booleans.xml
1551294,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/RootActivity.java
1551249,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values/booleans.xml
1551248,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values/colors.xml
1551105,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gcm/GcmNotificationCreator.java
1551061,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values/colors.xml
1550863,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/build.gradle
1550724,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/build.gradle
1550591,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/util/sync/dv/SyncAdapter.java
1550580,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-hdpi/grphc_pcloud_logo.png
1550580,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-hdpi/splash_logo.png
1550580,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-hdpi/title_brand.png
1550580,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-ldpi/grphc_pcloud_logo.png
1550580,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-mdpi/grphc_pcloud_logo.png
1550580,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp/grphc_pcloud_logo.png
1550580,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp/splash_logo.png
1550580,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp/title_brand.png
1550580,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp-mdpi/grphc_pcloud_logo.png
1550580,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp-mdpi/splash_logo.png
1550580,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xhdpi/grphc_pcloud_logo.png
1550580,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xhdpi/grphc_powered_sncr.png
1550580,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xxhdpi/grphc_pcloud_logo.png
1550580,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xxhdpi/splash_logo.png
1550580,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xxxhdpi/grphc_pcloud_logo.png
1550580,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-xxxhdpi/splash_logo.png
1550580,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/layout/splashscreen.xml
1550503,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/drawable-sw600dp/splash_logo.png (from /cloud/personal/client-international/android/branches/android-15.2-solutions_ux/clients/client-frt/res/drawable-sw600dp-mdpi/splash_logo.png:1550100)
1550503,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/layout/splashscreen.xml
1550503,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-frt/res/values/colors.xml
1550097,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values-fr/strings.xml
1550089,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/util/sync/dv/SyncAdapter.java
1550060,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values/strings.xml
1550060,modify,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/values-fr/strings.xml
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi/btn_play.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi/button_bg.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi/button_bg_disabled.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi/button_bg_highlight.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi/button_bg_pressed.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-hdpi/close_alert_icon.png
